bus_line_name,station_name,location,geo
绵阳10(区间)公交车路线(荷花中街花园市场—南山大桥),南河路中段,"104.753990,31.452356","{'formatted_address': '四川省绵阳市涪城区南河路中段', 'province': '四川省', 'citycode': '0816', 'city': '绵阳市', 'district': '涪城区', 'township': [], 'neighborhood': {'name': [], 'type': []}, 'building': {'name': [], 'type': []}, 'adcode': '510703', 'street': [], 'number': [], 'location': '104.753990,31.452356', 'level': '道路'}"
绵阳10(区间)公交车路线(荷花中街花园市场—南山大桥),南河路口,"104.750857,31.452847","{'formatted_address': '四川省绵阳市涪城区南河路', 'province': '四川省', 'citycode': '0816', 'city': '绵阳市', 'district': '涪城区', 'township': [], 'neighborhood': {'name': [], 'type': []}, 'building': {'name': [], 'type': []}, 'adcode': '510703', 'street': [], 'number': [], 'location': '104.750857,31.452847', 'level': '道路'}"
绵阳10(区间)公交车路线(荷花中街花园市场—南山大桥),南山大桥,"104.761261,31.449079","{'formatted_address': '四川省绵阳市涪城区南山大桥', 'province': '四川省', 'citycode': '0816', 'city': '绵阳市', 'district': '涪城区', 'township': [], 'neighborhood': {'name': [], 'type': []}, 'building': {'name': [], 'type': []}, 'adcode': '510703', 'street': [], 'number': [], 'location': '104.761261,31.449079', 'level': '热点商圈'}"
绵阳14(红星水库)公交车路线(红星水库—华兴街口),红星水库,,
绵阳14(红星水库)公交车路线(红星水库—华兴街口),建华,"104.864286,31.457670","{'formatted_address': '四川省绵阳市游仙区建华', 'province': '四川省', 'citycode': '0816', 'city': '绵阳市', 'district': '游仙区', 'township': [], 'neighborhood': {'name': [], 'type': []}, 'building': {'name': [], 'type': []}, 'adcode': '510704', 'street': [], 'number': [], 'location': '104.864286,31.457670', 'level': '乡镇'}"
绵阳14(红星水库)公交车路线(红星水库—华兴街口),杨家垭,,
绵阳14(红星水库)公交车路线(红星水库—华兴街口),张家垭,,
绵阳14(红星水库)公交车路线(红星水库—华兴街口),云家垭,,
绵阳14(红星水库)公交车路线(红星水库—华兴街口),李家垭,"104.853996,31.498260","{'formatted_address': '四川省绵阳市游仙区李家垭', 'province': '四川省', 'citycode': '0816', 'city': '绵阳市', 'district': '游仙区', 'township': [], 'neighborhood': {'name': [], 'type': []}, 'building': {'name': [], 'type': []}, 'adcode': '510704', 'street': [], 'number': [], 'location': '104.853996,31.498260', 'level': '村庄'}"
绵阳14(红星水库)公交车路线(红星水库—华兴街口),渣子库,,
